Question,Category,Difficulty,Answer
"Samuel L. Jackson had the words, Bad Motherf*cker in-scripted on his lightsaber during the filming of Star Wars.",Entertainment: Film,easy,True
How many total monsters appear in Monster Hunter Generations?,Entertainment: Video Games,hard,105
"This element, when overcome with extreme heat and pressure, creates diamonds.",Science & Nature,easy,Carbon
"Snakes and lizards are known to flick their tongue, this behavior is to?",Animals,easy,Capture scent particles
Which river flows through the Scottish city of Glasgow?,General Knowledge,medium,Clyde
"In season one of the US Kitchen Nightmares, Gordan Ramsay tried to save 10 different restaurants. How many ended up closing afterwards?",Entertainment: Television,hard,9
What is the unit of electrical capacitance?,Science & Nature,medium,Farad
Who was the only god from Greece who did not get a name change in Rome?,Mythology,easy,Apollo
The character Momonga from the Overlord series orders his servants to call him by what name?,Entertainment: Japanese Anime & Manga,medium,Ainz Ooal Gown
"If he was still alive, in what year would Elvis Presley celebrate his 100th birthday?",Celebrities,medium,2035
"In Danganronpa: Trigger Happy Havoc, what is the protagonists name?",Entertainment: Video Games,easy,Makoto Naegi
"In the 2002 video game Kingdom Hearts, how many playable worlds were there?",Entertainment: Video Games,medium,14
What was the worlds first video game?,Entertainment: Video Games,hard,Tennis for Two
What major programming language does Unreal Engine 4 use?,Science: Computers,hard,C++
What is the name of the villian in the 2015 Russian-American Sci-Fi Movie Hardcore Henry?,Entertainment: Film,medium,Akan
"If a 360 no-scope is one full rotation before shooting, how many rotations would a 1080 no-scope be?",Entertainment: Video Games,easy,3
Where are the cars of the brand Ferrari manufactured?,Vehicles,easy,Italy
In what year was the video game company Electronic Arts founded?,History,medium,1982
In what year did Neil Armstrong and Buzz Aldrin land on the moon?,History,medium,1969
What does TIE stand for in reference to the TIE Fighter in Star Wars?,Entertainment: Film,medium,Twin Ion Engine
Whose greyscale face is on the kappa emoticon on Twitch?,General Knowledge,medium,Josh DeSeno
The Day the Music Died was a tragic plane crash that killed three musicians in which decade?,Entertainment: Music,medium,50s
Which of the following are cells of the adaptive immune system?,Science & Nature,hard,Cytotoxic T cells
Who voices for Ruby in the animated series RWBY?,Entertainment: Cartoon & Animations,easy,Lindsay Jones
What is isobutylphenylpropanoic acid more commonly known as?,Science & Nature,hard,Ibuprofen
The Hagia Sophia was commissioned by which emperor of the Byzantine Empire?,History,hard,Justinian I
"At which university do The Big Bang Theory characters Mr. Wolowitz and Drs. Cooper, Hofstadter and Koothrappali work?",Entertainment: Television,medium,Caltech
Which of these characters from Final Fantasy VIII primarily spoke in one word sentences?,Entertainment: Video Games,hard,Fujin
Which pulp hero made appearances in Hellboy and BPRD comics before getting his own spin-off?,Entertainment: Comics,hard,Lobster Johnson
What is the star sign of someone born on Valentines day?,General Knowledge,medium,Aquarius
Which movie served as the KTMA pilot episode for the show Mystery Science Theater 3000?,Entertainment: Television,medium,The Green Slime
Which country drives on the left side of the road?,General Knowledge,medium,Japan
"The two main characters of No Game No Life, Sora and Shiro, together go by what name?",Entertainment: Japanese Anime & Manga,easy,Blank
Which race in Guild Wars 2 believes in the Eternal Alchemy?,Entertainment: Video Games,easy,Asura
Who is the protagonist of the book: The Catcher in the Rye by J.D. Salinger,Entertainment: Books,medium,Holden Caulfield
Twenty One Pilots made the song The Motion featuring Sampha.,Entertainment: Music,medium,False
The creator of the Enigma Cypher and Machine was of what nationality?,History,medium,German
Solid Snake is actually a clone from the DNA of Big Boss in the Metal Gear Solid series history.,Entertainment: Video Games,easy,True
"The name of the main character of the video game The Legend of Zelda, is Zelda.",Entertainment: Video Games,easy,False
Who was the original voice actor of Shaggy Rogers in Scooby-Doo?,Entertainment: Television,medium,Casey Kasem
"What was the nickname given to the Hughes H-4 Hercules, a heavy transport flying boat which achieved flight in 1947?",General Knowledge,easy,Spruce Goose
Who voices the character Vernon Cherry in Red Dead Redemption?,Entertainment: Video Games,medium,Casey Mongillo
The Southeast Asian island of Borneo is politically divided among 3 countries.,Geography,medium,True
Which of the following games has the largest map size?,Entertainment: Video Games,easy,Just Cause 2
Which of these names are not a character of JoJos Bizarre Adventure?,Entertainment: Japanese Anime & Manga,hard,JoJo Kikasu
Which of these countries is not a United Nations member state?,Geography,medium,Niue
"In 2014, this new top 100 rapper who featured in Computers and Body Dance was arrested in a NYPD sting for murder.",Celebrities,medium,Bobby Shmurda
"The New York Times slogan is, “All the News That’s Fit to…”",General Knowledge,easy,Print
Whats the weakness of american vampires (Scott Snyders American Vampire)?,Entertainment: Comics,medium,Gold
"In Call Of Duty: Zombies, which maps opening cutscene shows Richtofen killing another version of himself?",Entertainment: Video Games,hard,The Giant
Who was the first explorer to sail to North America?,History,medium,Leif Erikson
Which one of these films are shot entirely in one-take?,Entertainment: Film,medium,Russian Ark
Which of these animals is NOT a lizard?,Animals,hard,Tuatara
"What was the original release date of Grand Theft Auto V?,Entertainment: Video Games",medium,September 17, 2013
Who is the main character in most of the games of the YS series?,Entertainment: Video Games,medium,Adol Christin
Which member of The Beatles narrated episodes of Thomas the Tank Engine?,Entertainment: Music,medium,Ringo Starr
Which is the second largest native language spoken in Spain by numbers of speakers?,General Knowledge,easy,Catalan
"When someone is cowardly, they are said to have what color belly?",General Knowledge,easy,Yellow
During the Wars of the Roses (1455 - 1487) which Englishman was dubbed the Kingmaker?,History,hard,Richard Neville
"In Formula 1, the Virtual Safety Car was introduced following the fatal crash of which driver?",Sports,medium,Jules Bianchi
Carcassonne is based on which French town?,Entertainment: Board Games,easy,Carcassonne
"To which biological phylum do all mammals, birds and reptiles belong?",Animals,hard,Chordata
The map featured in Arma 3 named Altis is based off of what Greek island?,Entertainment: Video Games,hard,Lemnos
"In the Pikmin games, which of the following pikmin colors lacks its own Onion nest?",Entertainment: Video Games,hard,Purple
The character that would eventually become Dr. Eggman was considered for the role of Segas new flagship mascot before Sonic was.,Entertainment: Video Games,medium,True
The Squaring the Circle problem is solvable.,Science: Mathematics,easy,False
The series of the Intel HD graphics generation succeeding that of the 5000 and 6000 series (Broadwell) is called:,Science: Computers,easy,HD Graphics 500
What is the original name of Final Fantasy XV?,Entertainment: Video Games,medium,Final Fantasy Versus XIII
Which of the following sports is not part of the triathlon?,Sports,easy,Horse-Riding
"In Big Hero 6, what were Baymaxs motions modeled after?",Entertainment: Film,hard,Baby penguins
"In Jurassic World, what is the name of the dinosaur that is a genetic hybrid?",Entertainment: Film,easy,Indominus Rex
"What was the code name for the Allied invasion of Southern France on August 15th, 1944?",History,hard,Operation Dragoon
Which team won the first Overwatch League championship?,Entertainment: Video Games,medium,London Spitfire
"In the Morse code, which letter is indicated by 3 dots? ",General Knowledge,medium,S
Which rock band released the album The Bends in March 1995?,Entertainment: Music,medium,Radiohead
In which series of games do you collect souls to empower you and buy weaponry and armor with?,Entertainment: Video Games,easy,Souls
Approximately what percentage of Earths atmosphere is Oxygen?,Science & Nature,medium,21%
"In the Lord of the Rings, who is the father of the dwarf Gimli?",Entertainment: Books,medium,Gloin
Where is the train station Llanfair­pwllgwyngyll­gogery­chwyrn­drobwll­llan­tysilio­gogo­goch?,General Knowledge,easy,Wales
Which gaming series includes The Diabolical Box and The Curious Village?,Entertainment: Video Games,hard,Professor Layton
Who is the chemical element Curium named after?,Science & Nature,easy,Marie & Pierre Curie
Which famous spy novelist wrote the childrens story Chitty-Chitty-Bang-Bang?,Entertainment: Books,easy,Ian Fleming
Computer manufacturer Compaq was acquired for $25 billion dollars in 2002 by which company?,General Knowledge,medium,Hewlett-Packard
Which of these is a semiconductor amplifying device?,Science & Nature,hard,transistor
Which of the following cellular device companies is NOT headquartered in Asia?,Science: Gadgets,hard,Nokia
"Which cartoon family lives in 742 Evergreen Terrace, Springfield USA?",Entertainment: Cartoon & Animations,easy,The Simpsons
There arent any live-action clones in Star Wars: Episode III - Revenge of the Sith.,Entertainment: Film,medium,True
Which countries participated in the Lobster War?,History,hard,France and Brazil
Minecraft can be played with a virtual reality headset.,Entertainment: Video Games,easy,True
Which band is the longest active band in the world with no breaks or line-up changes?,Entertainment: Music,hard,U2
Who Voices the Devil on Devils Flight in Final Destination 3?,Entertainment: Film,hard,Tony Todd
"In the Toaru Majutsu no Index anime, Touma Kamijou is a level 0 esper that has the ability to do what?",Entertainment: Japanese Anime & Manga,medium,Dispell any esper or magical powers
The medial meniscus forms which part of what joint in the human body?,Science & Nature,medium,Knee
"In Sonic the Hedgehog 3 for the Sega Genesis, what is the color of the second Chaos Emerald you can get from Special Stages?",Entertainment: Video Games,hard,Orange
Who was walking like an Egyptian in 1981?,Entertainment: Music,medium,The Bangles
"In Kendrick Lamars 2012 album, Good Kid, M.A.A.D City, the albums story takes place in which city?",Entertainment: Music,hard,Compton
"What happened to Half-Life 2 prior to its release, which resulted in Valve starting over the development of the game?",Entertainment: Video Games,medium,The source code got leaked
"In Highschool of the Dead, where did Komuro and Saeko establish to meet after the bus explosion?",Entertainment: Japanese Anime & Manga,hard,Eastern Police Station
Under what pseudonym did Stephen King publish five novels between 1977 and 1984?,Entertainment: Books,easy,Richard Bachman
"In the 1969 Cartoon show Dastardly and Muttley in Their Flying Machines, which were NOT one of the lyrics in the opening theme?",Entertainment: Cartoon & Animations,hard,Stab him
"In Forza Motorsport 6, which of these track-exclusive cars was NOT featured in the game, either originally with the game or added as DLC?",Entertainment: Video Games,medium,Aston Martin Vulcan
"Along with Gabe Newell, who co-founded Valve?",Entertainment: Video Games,medium,Mike Harrington
What was the name of the first front-wheel-drive car produced by Datsun (now Nissan)?,Vehicles,hard,Cherry
"Which nation claims ownership of Antarctica?,Geography",easy,No one, but there are claims.
Deuterium is an isotope of which element?,Science & Nature,medium,Hydrogen
Montreal is in which Canadian province?,Geography,medium,Quebec
"In a 1994 CBS interview, Microsoft co-founder Bill Gates performed what unusual trick on camera?",General Knowledge,medium,Jumping over an office chair
Which of the following is considered classical conditioning?,Science & Nature,hard,Pavlovs dog experiments
"In Portal 2, which solar system body did Wheatley end up orbiting?",Entertainment: Video Games,medium,The moon
What two characters from the game Undertale are never in a relationship or not related?,Entertainment: Video Games,medium,Frisk & Chara
"In Super Mario 64, collecting 100 coins on a level will give you a 1-UP.",Entertainment: Video Games,easy,False
"In the videogame Bully, what is the protagonists last name?",Entertainment: Video Games,easy,Hopkins
At which bridge does the annual Oxford and Cambridge boat race start?,Sports,medium,Putney
The “fairy” type made it’s debut in which generation of the Pokemon core series games?,General Knowledge,easy,6th
In the 1979 British film Quadrophenia what is the name of the seaside city the mods are visiting?,Entertainment: Film,medium,Brighton
"In Star Trek, Klaang is a typical Klingon male.",Entertainment: Television,easy,True
Pol Pot was the former dictator of which country?,History,easy,Cambodia
What is the highest belt you can get in Taekwondo?,Sports,medium,Black
The ultimate phrase used by Pharah from Overwatch is: Justice rains from above!,Entertainment: Video Games,easy,True
"Which car tire manufacturer is famous for its Eagle brand of tires, and is the official tire supplier of NASCAR?",Vehicles,easy,Goodyear
Which King of England was faced with the Peasants Revolt in 1381?,History,hard,Richard II
Which of the following anime of the mecha genre began airing in 1982?,Entertainment: Japanese Anime & Manga,medium,The Super Dimension Fortress Macross
"In Call Of Duty: Zombies, you can upgrade the Apothicon Servant in the Shadows Of Evil map.",Entertainment: Video Games,medium,False
Which Native American tribe/nation requires at least one half blood quantum (equivalent to one parent) to be eligible for membership?,Politics,hard,Yomba Shoshone Tribe
What is the name of Sherlock Holmess brother?,Entertainment: Books,easy,Mycroft Holmes
"In programming, the ternary operator is mostly defined with what symbol(s)?",Science: Computers,medium,?:
Which of the following is not the name of a Bond Girl? ,Entertainment: Film,easy,Vanessa Kensington
"When was the Valve Corporation founded?,Entertainment: Video Games",hard,August 24, 1996
Kanye West at 2009 VMAs interrupted which celebrity?,Entertainment: Music,easy,Taylor Swift
Which group performs the song Crash into Me?,Entertainment: Music,easy,Dave Matthews Band
Italy and Ireland are the only countries in Europe that start with the letter I.,Geography,medium,False
Who played Baron Victor Frankestein in the 1957 Hammer horror film The Curse of Frankenstein?,Entertainment: Film,medium,Peter Cushing
"In computing terms, typically what does CLI stand for?",Science: Computers,medium,Command Line Interface
"Like his character in Parks and Recreation, Aziz Ansari was born in South Carolina.",Entertainment: Television,medium,True
This composer worked on the 2003 TV series Battlestar Galatica.,Entertainment: Television,medium,Bear McCreary
Minecraft can be played with a virtual reality headset.,Entertainment: Video Games,easy,True
What is the smallest country in the world?,Geography,easy,Vatican City
What is the first Mersenne prime exponent over 1000?,Science: Mathematics,medium,1279
In which year did Caravan Palace release their first album?,Entertainment: Music,medium,2008
In which country is the city of Rio de Janeiro?,Geography,easy,Brazil
Who is the dumb blonde character in Nickelodeons The Loud House?,Entertainment: Cartoon & Animations,medium,Leni
"In The Amazing World of Gumball, who is the principal of Elmore Junior High?",Entertainment: Cartoon & Animations,medium,Principal Brown
"In Naruto: Shippuden, which of the following elements is a Kekkei Tōta?",Entertainment: Television,medium,Particle Style
African-American performer Sammy Davis Jr. was known for losing which part of his body in a car accident?,Entertainment: Music,medium,Left Eye
"In the S.T.A.L.K.E.R. series, the Freedom faction wishes to destroy the supernatural area known as  the Zone.",Entertainment: Video Games,easy,False
"In Magic: The Gathering, which of the following was the first publicly released foil card?",Entertainment: Board Games,hard,Lightning Dragon
"What is the name of the formerly rich fishing grounds off the island of Newfoundland, Canada?",Geography,hard,Grand Banks
Which is the largest city in Morocco?,Geography,medium,Casablanca
Which Twitch streamer is the vocalist for Red Vox?,Entertainment: Music,easy,Vinesauce
"Dallon Weekes, former touring basist of Panic! At the Disco, created his own band in 2016 called...",Entertainment: Music,hard,I Dont Know How But They Found Me
"Originally, the character Charlie from Charlie and the Chocolate Factory was going to be black.",Entertainment: Books,medium,True
"The anime Attack on Titan was directed by Tetsurō Araki, the same person who directed the anime Highschool of the Dead.",Entertainment: Japanese Anime & Manga,medium,True
"In Star Trek, who was the founder of the Klingon Empire and its philosophy?",Entertainment: Television,hard,Kahless the Unforgettable
What is the name of the only remaining Grand Duchy in the world ?,Geography,medium,Luxembourg
What year did the anime Himouto! Umaru-chan air?,Entertainment: Japanese Anime & Manga,medium,2015
"In DuckTales, what is the name of the city where all the main characters live?",Entertainment: Television,easy,Duckburg
In what dialogue did Socrates defend himself to the court of Athens? ,History,medium,The Apology
What is the correct term for the metal object in between the CPU and the CPU fan within a computer system?,Science: Computers,medium,Heat Sink
Which of these does Charlie NOT read in The Perks of Being a Wallflower?,Entertainment: Books,hard,The Grapes of Wrath
The Second Boer War in 1899 was fought where?,History,hard,South Africa
"In Until Dawn, both characters Sam and Mike cannot be killed under any means until the final chapter of the game.",Entertainment: Video Games,easy,True
"What is the name of Team Fortress 2 update, in which it became Free-to-play?",Entertainment: Video Games,easy,Über Update
How many Harry Potter books are there?,Entertainment: Books,easy,7
In which series of games do you collect souls to empower you and buy weaponry and armor with?,Entertainment: Video Games,easy,Souls
Which Canadian province has Charlottetown as its capital?,Geography,medium,Prince Edward Island
Who is One Punch Man voiced by in the Japanese version.,Entertainment: Japanese Anime & Manga,hard,Makoto Furukawa
"What genre of EDM is the Dutch DJ, musician, and remixer Armin van Buuren most well-known for?",Entertainment: Music,medium,Trance
Which of these is NOT a faction included in the game Counter-Strike: Global Offensive?,Entertainment: Video Games,medium,BOPE
"In the TV show Mad Men, what was Donald Drapers birthname?",Entertainment: Television,easy,Richard Dick Whitman
How many officially recognized dwarf planets in the solar system are named after Polynesian deities?,Science & Nature,medium,2
Which city hosted the CS:GO Dreamhack Open 2015?,Entertainment: Video Games,medium,Cluj-Napoca
"In To Love-Ru: Darkness, which of the girls attempt making a harem for Rito Yuuki?",Entertainment: Japanese Anime & Manga,medium,Momo Deviluke
"In Dead Space 2, the Hand Cannon is a large foam finger.",Entertainment: Video Games,easy,True
Gannymede is the largest moon of which planet?,Science & Nature,medium,Jupiter
"In AMCs The Walking Dead, the characters Rick, Carl, Daryl, Morgan, Carol and Maggie were introduced in Season 1.",Entertainment: Television,medium,False
What is the first track on Kanye Wests 808s & Heartbreak?,Entertainment: Music,medium,Say You Will
Which actor and martial artist starred as Colonel Guile in the 1994 action film adaptation of Street Fighter?,Entertainment: Film,medium,Jean-Claude Van Damme
What animal takes part in Schrödingers most famous thought experiment?,Science & Nature,easy,Cat
What company created and developed the game Overwatch?,Entertainment: Video Games,easy,Blizzard Entertainment
In the anime Assassination Classroom what is the class that Korosensei teaches?,Entertainment: Japanese Anime & Manga,medium,Class 3-E
"The Whos eponymous line, Teenage Wasteland, appears in which of their songs?",Entertainment: Music,medium,Baba O Riley
The heavy metal band Black Sabbath hail from which English city?,Entertainment: Music,hard,Birmingham
Which year was the album Floral Shoppe by Macintosh Plus released?,Entertainment: Music,hard,2011
"In Team Fortress 2, what is the fastest taunt kill that can be pulled off?",Entertainment: Video Games,hard,Showdown
Time on Computers is measured via the EPOX System.,Science: Computers,easy,False
Tokyo is the capital of Japan.,Geography,easy,True
Which one of these tanks was designed and operated by the United Kingdom?,History,easy,Tog II
Who plays Jack Burton in the movie Big Trouble in Little China?,Entertainment: Film,easy,Kurt Russell
What is Doug Walkers YouTube name?,Celebrities,medium,The Nostalgia Critic
"3 members of 2 Live Crew were arrested for playing songs from their album, As Nasty As They Wanna Be, live.",Entertainment: Music,medium,True
Which of the following Mesopotamian mythological figures was NOT a deity?,Mythology,medium,Enkidu
What is the name of the protagonists first Persona in Persona 5?,Entertainment: Video Games,medium,Arsene
"What are the Three Virtues of Bionicle?,Entertainment: Comics,hard",Unity, Duty, Destiny
"In the cartoon SpongeBob SquarePants, what did the acronym E.V.I.L stand for?",Entertainment: Television,easy,Every Villain Is Lemons
The minigun was designed in 1960 by which manufacturer.,History,medium,General Electric
Liechtenstein does not have an airport.,Geography,medium,True
In which year did the British television series The Bill end?,Entertainment: Television,medium,2010
Which Toronto landmark was featured on the cover art of Canadian rapper Drakes 2016 album Views?,Entertainment: Music,medium,CN Tower
"In Need For Speed Most Wanted (2005), what do you drive at the beginning of the career mode?",Entertainment: Video Games,medium,BMW M3 GTR
What was the first weapon pack for PAYDAY 2?,Entertainment: Video Games,medium,The Gage Weapon Pack #1
"In vanilla Minecraft, which of the following cannot be made into a block?",Entertainment: Video Games,easy,Charcoal
The default playermodel of Garrys Mod is this Half Life 2 character.,Entertainment: Video Games,medium,Isaac Kleiner
Which English county will you find the University of East Anglia?,Geography,medium,Norfolk
"In the comic book Archie, Betty is friends with Veronica because she is rich.",Entertainment: Comics,hard,False
"The coat of arms of the King of Spain contains the arms from the monarchs of Castille, Leon, Aragon and which other former Iberian kingdom?",History,hard,Navarre
"In the 2015 RPG Undertale, which character do you first encounter after falling down into the underground?",Entertainment: Video Games,medium,Flowey
What does the S in the RSA encryption algorithm stand for?,Science: Computers,medium,Shamir
"In the Season 1 SpongeBob Squarepants episode, Help Wanted, the song Living in the Sunlight by Tiny Tim can be heard.",Entertainment: Television,easy,True
Which kind of algorithm is Ron Rivest not famous for creating?,Science: Computers,hard,Secret sharing scheme
Drink the Sea is an album by which electronic music artist?,Entertainment: Music,medium,The Glitch Mob
"In Youtuber Jerma985s 2014 film Rat Movie: Mystery of the Mayan Treasure, who is the man who tries to steal the Mayan Treasure?",Entertainment: Film,hard,Dick Dastardly Richards
What was the title of Sakamoto Kyus song Ue o Muite Arukou (I Look Up As I Walk) changed to in the United States?,Entertainment: Music,medium,Sukiyaki
Which company did Gabe Newell work at before founding Valve Corporation?,Entertainment: Video Games,easy,Microsoft
"In 2008, British celebrity chef Gordon Ramsay believes he almost died after suffering what accident in Iceland while filming?,Entertainment: Television",hard,Slipping off a cliff, and nearly drowning in icy water
What is the name of the talking cat in Persona 5?,Entertainment: Video Games,easy,Morgana
How many French Opens did Björn Borg win?,Sports,medium,6
Which of these online games was originally named LindenWorld in its early development?,Entertainment: Video Games,hard,SecondLife
In what year was the game Fallout released?,Entertainment: Video Games,easy,1997
"Bugs Bunny, Tony the Tiger, and other bipedal animal characters are known as what type of character?",Entertainment: Cartoon & Animations,medium,Anthropomorphic
"All of these maps were in Tom Clancys Rainbow Six Siege on its initial release: House, Clubhouse, Border, Consulate.",Entertainment: Video Games,hard,False
Adolf Hitler was a german soldier in World War I.,History,easy,True
What is the capital of Peru?,Geography,medium,Lima
Who wrote the childrens story The Little Match Girl?,Entertainment: Books,medium,Hans Christian Andersen
What scientific family does the Aardwolf belong to?,Animals,hard,Hyaenidae
"In JoJos Bizarre Adventure: Stardust Crusaders, what is the last name of the protagonist Jotaro?",Entertainment: Japanese Anime & Manga,medium,Kujo
What does SSD stand for in the context of computer storage?,Science: Gadgets,easy, Solid State Drive
Which race in Guild Wars 2 believes in the Eternal Alchemy?,Entertainment: Video Games,easy,Asura
Who directed the movie Alien?,Entertainment: Film,medium,Ridley Scott
Which student in Yandere Simulator is known for asking irritating and stupid questions?,Entertainment: Video Games,easy,Midori Gurin
Which Audi does not use Haldex based all wheel drive system?,Vehicles,hard,Audi A8
"In the Scoville scale, what is the hottest chemical?",Science & Nature,hard,Resiniferatoxin
Which of these is NOT an Australian state or territory?,Geography,easy,Alberta
Which of these European cities was the first to host the modern Summer Olympic Games three times?,Sports,hard,London
What is the right way to spell the capital of Hungary?,Geography,medium,Budapest
All of the following are classified as Finno-Ugric languages EXCEPT:,Geography,easy,Samoyedic
In which game did the Konami Code make its first appearance?,Entertainment: Video Games,medium,Gradius
"When was the Declaration of Independence approved by the Second Continental Congress?,General Knowledge",medium,July 4, 1776
"Which of these American cities has fewer than 1,000,000 people?,Geography",medium,San Francisco, California
What was the third country to have a McDonalds restaurant?,General Knowledge,hard,Costa Rica
Which of the following bones is not in the leg?,Science & Nature,easy,Radius
How many regular Sunken Sea Scrolls are there in Splatoon?,Entertainment: Video Games,medium,27
Bulls are attracted to the color red.,General Knowledge,easy,False
"In the web-comic Homestuck, what is the name of the game the 4 kids play?",Entertainment: Cartoon & Animations,hard,Sburb
When was the first mammal successfully cloned?,Science & Nature,medium,1996
"In the Team Fortress 2 canon, what did Shakespearicles NOT invent?",Entertainment: Video Games,hard,Stairs
"In the Dungeons and Dragons universe, Beshaba is the deity of bad luck. ",Entertainment: Board Games,easy,True
Which of these artists did NOT feature in the fitfh studio album Humanz by British virtual band Gorillaz?,Entertainment: Music,hard,Snoop Dogg
Neptunes greek name was...,Mythology,medium,Poseidon
What is the code name of Morgana the cat in Persona 5?,Entertainment: Video Games,easy,Mona
"Unix Time is defined as the number of seconds that have elapsed since when?,Science: Computers,medium",Midnight, January 1, 1970
What video game engine does the videogame Quake 2 run in?,Entertainment: Video Games,easy,iD Tech 2
What is the name of the machine that fails and essentially dooms mankind in the beginning of the first Half-Life game?,Entertainment: Video Games,medium,Anti-mass spectrometer
"In the Sailor Moon series, what is Sailor Jupiters civilian name?",Entertainment: Japanese Anime & Manga,medium,Makoto Kino
Which English king was married to Eleanor of Aquitaine?,History,hard,Henry II
Who is the leader of Team Instinct in Pokémon Go?,Entertainment: Video Games,easy,Spark
"In flight systems, what does the initialism TCAS stand for?",General Knowledge,hard,Traffic Collision Avoidance System
Which of the following is NOT a work done by Shakespeare?,Entertainment: Books,hard,Trial of Temperance
Some people call me the space cowboy is the first line from what song?,Entertainment: Music,easy,The Joker
Which company designed the Betamax video cassette format?,Science: Gadgets,medium,Sony
"Spoon theory is a theory, utilizing Spoons as a metaphor for energy they can use in a day.",General Knowledge,hard,True
Which modern day country is the region that was known as Phrygia in ancient times?,History,easy,Turkey
One of Barack Obamas United States presidential campaign slogans was Yes We Can.,Politics,easy,True
"If you planted the seeds of Quercus robur, what would grow?",General Knowledge,hard,Trees
Which fictional English county was the setting for Thomas Hardys novels?,Entertainment: Books,hard,Wessex
What is the lowest amount of max health you can have in Team Fortress 2?,Entertainment: Video Games,medium,70
Which of these game-based comics were published in 2011 by DC Comics?,Entertainment: Comics,medium,Infamous
"In past times, what would a gentleman keep in his fob pocket?",General Knowledge,easy,Watch
"In the alternate timeline in Mortal Kombat, which character was the one to slaughter the Shirai Ryu clan?",Entertainment: Video Games,hard,Quan Chi
What is the 4th boss in the 1997 video game Crash Bandicoot 2: Cortex Strikes Back?,Entertainment: Video Games,hard,Dr. N. Gin
"In the Harry Potter series, what is Headmaster Dumbledores full name?",Entertainment: Books,hard,Albus Percival Wulfric Brian Dumbledore
The phrase accident waiting to happen is an example of what type of figure of speech?,General Knowledge,medium,Idiom
Metal Gear Solid 3: Snake Eater was released in 2004.,Entertainment: Video Games,easy,True
"In Super Mario Bros., who informs Mario that the princess is in another castle?",Entertainment: Video Games,easy,Toad
What breed of dog is Scooby Doo?,Entertainment: Television,medium,Great Dane
Which one of these scientists conducted the Gold Foil Experiment which concluded that atoms are mostly made of empty space?,Science & Nature,medium,Ernest Rutherford
Which of these Roman gods doesnt have a counterpart in Greek mythology?,Mythology,medium,Janus
Which item of clothing is usually worn by a Scotsman at a wedding?,General Knowledge,medium,Kilt
What were the Chilled Monkey Brains made from during Indiana Jones and the Temple of Doom?,Entertainment: Film,medium,Custard and Raspberry Sauce
The first dual-core CPU was the Intel Pentium D.,Science: Computers,medium,False
"What was the development code name for the Urzas Destiny expansion for Magic: The Gathering, released in 1999?",Entertainment: Board Games,hard,Chimichanga
Which of the following is not a playable race in the MMORPG Guild Wars 2? ,Entertainment: Video Games,medium,Tengu
Who won the 2015 Formula 1 World Championship?,Sports,easy,Lewis Hamilton
"In Left 4 Dead, what is the name of the Special Infected that is unplayable in Versus mode?",Entertainment: Video Games,medium,The Witch
On which Beatles album would you find the song Eleanor Rigby?,Entertainment: Music,hard,Revolver
An organism described as heliotropic has a tendancy to move towards which of these things?,Science & Nature,medium,Light
"In the anime Black Butler, who is betrothed to be married to Ciel Phantomhive?",Entertainment: Japanese Anime & Manga,easy,Elizabeth Midford
"In 2016, the IUCN reclassified the status of Giant Pandas from endangered to vulnerable.",Animals,easy,True
Nvidias headquarters are based in which Silicon Valley city?,Science: Computers,medium,Santa Clara
What is the longest river in Europe?,Geography,medium,Volga
Which of these is NOT a part of the structure of a typical neuron?,Science & Nature,medium,Islets of Langerhans
Approximately what percentage of Earths atmosphere is Oxygen?,Science & Nature,medium,21%
The names of Tom Nooks cousins in the Animal Crossing franchise are named Timmy and Jimmy.,Entertainment: Video Games,easy,False
"In the Monster Hunter Series, it is possible to capture Elder Dragons.",Entertainment: Video Games,easy,False
"Which American-owned brewery led the country in sales by volume in 2015?,General Knowledge",easy,D. G. Yuengling and Son, Inc
What model was the sports car gifted to Yuri Gagarin by the French government in 1965?,Vehicles,hard,Matra Djet
Zero factorial is equal to zero. ,Science: Mathematics,medium,False
What round is a classic AK-47 chambered in?,Science: Gadgets,easy,7.62x39mm
In which British seaside town was the BBC sitcom Fawlty Towers set?,Entertainment: Television,easy,Torquay
What are Panama hats made out of?,General Knowledge,easy,Straw
Bill Cipher in the show Gravity Falls is the good guy.,Entertainment: Cartoon & Animations,easy,False
Who wrote the Sinead O`Connor hit Nothing Compares 2 U?,Entertainment: Music,easy,Prince
Rabbits cant vomit.,Animals,easy,True
"In the show, Doctor Who, what does T.A.R.D.I.S stand for?",Entertainment: Television,easy,Time And Relative Dimensions In Space
What country joined the EU in 2013?,History,easy,Croatia
"After the 1516 Battle of Marj Dabiq, the Ottoman Empire took control of Jerusalem from which sultanate?",History,hard,Mamluk
What is the scientific name of the Budgerigar?,Animals,hard,Melopsittacus undulatus
Pete Townshend collaborated with which famous guitarist for an event at Brixton Academy in 1985?,Entertainment: Music,hard,David Gilmour
Who designed the Chupa Chups logo?,Art,medium,Salvador Dali
There are 86400 seconds in a day.,General Knowledge,medium,True
Rhinoplasty is a surgical procedure on what part of the human body?,Science & Nature,easy,Nose
Which actress married Michael Douglas in 2000?,Celebrities,easy,Catherine Zeta-Jones
What was the punishment for Sysiphuss craftiness?,Mythology,hard,Cursed to roll a boulder up a hill for eternity.
"In the Half-Life series, H.E.V stands for Hazardous Evasiveness Vest",Entertainment: Video Games,easy,False
